Dutch,English
als,as
Ik,I
band,"tire,band"
dat,that
hij,he
was,was
op,on
berg,mountain
met,with
betalen,to pay
hebben,have
bij,at/by/with/near
blijven,"stay, continue"
boven,"above, top"
woord,word
maar,but
wat,what
sommige,some
is,is
het,it
u,you
had,had
de,the
dan,"then, than"
aan,to
en,and
in,in
we,we
deze,"this, these"
uit,out
andere,other
waren,were
doen,do
hun,their
tijd,time
indien,if
die,"which, who, those"
hoe,how
zei,said
elk,each
vertellen,tell
doet,does
set,set
drie,three
willen,want
lucht,air
dood,dead
spelen,play
klein,small
end,end
zetten,put
thuis,home
lezen,read
de hand,hand
poort,port
spell,spell
toevoegen,add
zelfs,even
door,"by, through"
hier,here
moet,must
dragen,"carry, wear"
dergelijke,such
volgen,follow
act,act
vragen,ask
mannen,men
verandering,change
ging,went
licht,light
uitgeschakeld,off
nodig hebben,need (2 words)
huis,house
afbeelding,picture
proberen,try
ons,us
dus,"so, thus"
dier,animal
punt,point
moeder,mother
wereld,world
dichtbij,near
bouwen,build
zelf,self
aarde,earth
vader,father
nieuwe,new
een,one/a/an
deel,part
nemen,take
krijgen,get
gemaakt,made
wonen,live
waar,where
terug,back
alleen,only
ronde,round
man,man
jaar,year
kwam,came
Show,show
elke,every
mij,me
er,there
onze,our
naam,name
zeer,very
gehouden,"kept, held"
gewoon,just
zin,sentence
gelijk,equate/equal
denken,think
zeggen,say
helpen,help
laag,low
lijn,line
verschillen,differ
beurt,turn
oorzaak,cause
betekenen,mean
geven,give
verhuizing,move
rechts,right
jongen,boy
oude,old
hetzelfde,same
geweest,been
alle,all
goed,good/well
omhoog,up
gebruiken,use
uw,your
manier,way
grote,"large, big, great"
hen,them
schrijven,write
zoals,like
haar,"her, hair"
lang,long
maken,make
ding,thing
zien,see
hem,him
twee,two
heeft,has
heet,hot
dag,day
kon,could
gaan,go
komen,come
deed,did
aantal,number
klinken,sound
geen,no
meest,most
mensen,people
mijn,my
meer dan,over
weten,know
water,water
hoog,"high, tall"
roep,call
eerste,first
houden,"keep, hold, like, love"
beneden,"down, downstairs, bottom"
kant,side
nu,now
kaart,"map, card"
hoofd,head
staan,stand
eigen,own
pagina,page
moeten,should
gevonden,found
antwoord,answer
de school,school
groeien,grow
studie,study
kan,"can, may"
planten,plant
afdekking,cover
voedsel,food
zon,sun
vier,four
tussen,between
staat,state
kijken,"look, watch"
oog,eye
nooit,never
laatste,last
laten,let
gedachte,thought
boom,tree
oversteken,cross
boerderij,farm
hard,hard
begin,start
kracht,"force, power"
verhaal,story
zaag,saw
ver,far
zee,sea
tekenen,draw
links,left
laat,late
niet,don’t
land,"land, country"
pers,press
dicht,close
nacht,night
echt,real
leven,life
noorden,north
boek,book
leren,"learn, teach"
nam,took
wetenschap,science
eet,eat
kamer,room
vriend,friend
begon,began
idee,idea
vis,fish
stop,stop
eenmaal,once
base,base
hear,hear
paard,horse
gesneden,cut
lopen,walk
kleur,color
gezicht,face
hout,wood
belangrijkste,main
geopend,open
lijken,seem
meer,more
volgende,next
wit,white
kinderen,children
beginnen,begin
kreeg,got
voorbeeld,example
gemak,ease
papier,paper
groep,group
altijd,always
muziek,music
na,after
beide,both
mark,mark
vaak,often
brief,letter
tot,until
mijl,mile
rivier,river
auto,car
voeten,feet
zorg,care
tweede,second
genoeg,enough
vlakte,plain
meisje,girl
gebruikelijke,usual
jonge,young
klaar,ready
ooit,ever
rood,red
lijst,list
hoewel,though
voelen,feel
Overleg,talk
vogel,bird
spoedig,soon
lichaam,body
hond,dog
familie,family
rechtstreeks,direct
pose,pose
nog,"still, yet"
lied,song
meten,measure
deur,door
artikel,product
zwart,black
korte,short
cijfer,numeral
klasse,class
wind,wind
gebeuren,happen
compleet,complete
schip,ship
gebied,area
helft,half
rots,rock
orde,order
brand,fire
zuiden,south
probleem,problem
stuk,piece
vertelde,told
wist,knew
passeren,pass
sinds,since
geheel,whole
king,king
straat,street
inch,inch
vermenigvuldigen,multiply
niets,nothing
cursus,course
of,"or, whether"
wiel,wheel
volledige,full
blauw,blue
object,object
beslissen,decide
oppervlak,surface
diepe,deep
maan,moon
eiland,island
voet,foot
systeem,system
drukke,busy
toets,test
opnemen,record
boot,boat
gemeenschappelijke,common
goud,gold
mogelijk,possible
vliegtuig,plane
onder,"under, among"
droge,dry
afvragen,wonder
lachen,laugh
duizend,thousand
geleden,ago
ran,ran
controleren,check
spel,game
ook,"also, too"
miss,miss
bracht,brought
warmte,heat
sneeuw,snow
brengen,bring
ja,yes
verre,distant
vullen,fill
oosten,east
schilderen,paint
taal,language
over,over/about
eenheid,unit
